CUST_ID,NAME,TOTAL_REV,AVG_REV
16203,White's Music Shop                      ,3874.24,3234.45
16373,The Money Place                         ,3870.23,3234.45
16244,Cameo Shop                              ,3863.58,3234.45
16095,Gulf Shrimp Shop                        ,3861.92,3234.45
16336,Gem Ravioli Co.                         ,3852.27,3234.45
16037,Tri-bro Tool                            ,3848.66,3234.45
16337,Elm St. Garage                          ,3833.82,3234.45
16347,Golfer's Warehouse                      ,3828.38,3234.45
16134,A&A Patent Services                     ,3826.17,3234.45
16226,Lorac Settings                          ,3822.63,3234.45
16077,BBQ Pit                                 ,3820.32,3234.45
16363,The Corn Popper                         ,3816.25,3234.45
16391,E&L Mobile Home Service                 ,3809.26,3234.45
16339,Bouquets of Balloons                    ,3800.58,3234.45
16141,Browne Pest Control                     ,3788.84,3234.45
16266,Kull's Stationers                       ,3787.36,3234.45
16264,Alternative Market                      ,3779.11,3234.45
16126,Presidential Printing                   ,3770.68,3234.45
16007,Tauren Inc.                             ,3765.14,3234.45
16150,Jobpro Inc.                             ,3762.93,3234.45
16019,Plainville Nursing Home                 ,3733.94,3234.45
16289,Protech Pest Control                    ,3730.66,3234.45
16263,Al's Tackle Shack                       ,3729.25,3234.45
16027,Angie's Decorators                      ,3714.86,3234.45
16119,Chase Building Supply                   ,3684.35,3234.45
16044,Sri Siam Thai Cusine                    ,3682.03,3234.45
16098,Ventura Grain                           ,3665.8,3234.45
16017,Tammy's Job Shop                        ,3660.86,3234.45
16183,Supreme Beauty Salon                    ,3658.81,3234.45
16357,EL Freeman Inc.                         ,3657.06,3234.45
16147,State Line Pharmacy                     ,3642.05,3234.45
16177,Audio Dreams                            ,3640.61,3234.45
16075,Alix & Son Radiator                     ,3621.36,3234.45
16362,Pedro's Pizza                           ,3617.68,3234.45
16319,Mansfield Marine                        ,3611.76,3234.45
16182,Briggs Corner Store                     ,3611.44,3234.45
16249,Dwyer Heating                           ,3610.65,3234.45
16175,CAC Jewelry                             ,3607.56,3234.45
16031,American Partitions                     ,3586.05,3234.45
16298,Pray Insulations                        ,3585.09,3234.45
16140,Homelite Outdoor Products               ,3575.23,3234.45
16209,Relax Liesure Products                  ,3565.5,3234.45
16309,American Mobile Homes                   ,3552.91,3234.45
16301,Elway Oil Company                       ,3552.68,3234.45
16265,Bubble Up Hot Tubs                      ,3536.94,3234.45
16115,The Good Seed                           ,3527.49,3234.45
16349,Officeland                              ,3526.09,3234.45
16088,Shear Stations LTD                      ,3521.81,3234.45
16383,Super Cycle Inc.                        ,3520.64,3234.45
16348,Brinkley's Restaurant                   ,3517.11,3234.45
16067,Crescent Day Care                       ,3516.35,3234.45
16157,Dyer Manufacturing                      ,3514.81,3234.45
16230,Precourt Lumber                         ,3512.44,3234.45
16114,Rockett Construction                    ,3503.02,3234.45
16344,Baby Boudoir                            ,3502.35,3234.45
16378,Designer Glass                          ,3502.2,3234.45
16380,Bristol Cruise Center                   ,3502.14,3234.45
16197,24 Hour Cleaning                        ,3493.76,3234.45
16370,Case Sales                              ,3490.71,3234.45
16317,Thrasher Welding                        ,3487.89,3234.45
16068,Best Home Center                        ,3483.51,3234.45
16389,Berger Engraving                        ,3478.72,3234.45
16006,Bradford Trailer Sales                  ,3478.32,3234.45
16321,Ashbrook Disposal                       ,3476.1,3234.45
16011,Paul's Pagers                           ,3472.89,3234.45
16374,Cobb's Lock & Key                       ,3466.63,3234.45
16168,Douglas Liquors                         ,3457.74,3234.45
16116,Propane Plus                            ,3457.72,3234.45
16330,Degrasse Rigging Co.                    ,3452.66,3234.45
16132,Burlington Auto Specialists             ,3440.48,3234.45
16144,Subs Galore                             ,3413.8,3234.45
16189,IFR Furniture Rentals                   ,3410.3,3234.45
16167,Union Tool                              ,3403.3,3234.45
16135,T-Shirts Plus                           ,3401.9,3234.45
16221,Astro Astrologists                      ,3401.2,3234.45
16051,Pleasant Printing Company               ,3389.46,3234.45
16173,Milford Bicycle                         ,3370.56,3234.45
16314,Beaver Woodworking Supplies             ,3364.71,3234.45
16280,Great Woods Art Stores                  ,3361.8,3234.45
16195,Duffy Funeral Home                      ,3361.23,3234.45
16143,Associated North Pacific                ,3360.27,3234.45
16008,Morris Novelty                          ,3358.85,3234.45
16306,R&D Fuel Oil Co.                        ,3357.51,3234.45
16104,Jackson Plants                          ,3352.13,3234.45
16179,South Shore Oil                         ,3349.53,3234.45
16094,Vision & Value Inc.                     ,3346.17,3234.45
16208,Quilts LTD                              ,3343.3,3234.45
16070,Eno Paper Distributors                  ,3340.45,3234.45
16129,Professional Resource Management        ,3324.12,3234.45
16240,Hindle's Power Equipment                ,3322.18,3234.45
16045,Hart Electric                           ,3312.6,3234.45
16199,Charles Package Stores                  ,3312,3234.45
16252,K&L Jewelers                            ,3298.18,3234.45
16356,Tile City                               ,3289.23,3234.45
16302,Airport Sport Shop                      ,3286.92,3234.45
16194,Merry Go Round Liquors                  ,3284.76,3234.45
16295,Rick's Music World                      ,3283.17,3234.45
16210,Morse Monuments                         ,3278.36,3234.45
16159,American Paging Centers                 ,3278.12,3234.45
16318,D&M Pizza                               ,3276.83,3234.45
16151,Finishing Touches                       ,3271.13,3234.45
16023,South Side Florist                      ,3266.01,3234.45
16109,"Standard Systems, Inc.                  ",3258.7,3234.45
16304,Acme Printing Co.                       ,3246.21,3234.45
16366,ABD Inc.                                ,3245.18,3234.45
16400,Classic Coach                           ,3244.06,3234.45
